日期,星期,最高气温,最低气温,天气,风向,风力
2011-10-08,星期六,23℃,15℃,阴,旋转风,微风
2011-10-09,星期日,21℃,15℃,多云~阵雨,旋转风,微风
2011-10-10,星期一,22℃,14℃,小雨,旋转风,微风
2011-10-11,星期二,18℃,14℃,小到中雨~小雨,旋转风,微风
2011-10-12,星期三,18℃,11℃,阴~多云,旋转风,微风
2011-10-13,星期四,21℃,10℃,晴,北风,微风
2011-10-14,星期五,23℃,9℃,晴,旋转风,微风
2011-10-15,星期六,22℃,10℃,晴,旋转风,微风
2011-10-16,星期日,23℃,11℃,晴,旋转风,微风
2011-10-17,星期一,24℃,12℃,晴~多云,旋转风,微风
2011-10-18,星期二,22℃,13℃,多云~小雨,旋转风,微风
2011-10-19,星期三,19℃,13℃,阵雨~阴,旋转风,微风
2011-10-20,星期四,20℃,13℃,多云~阴,旋转风,微风
2011-10-21,星期五,21℃,13℃,阴~小雨,旋转风,微风
2011-10-22,星期六,17℃,12℃,小到中雨,旋转风,微风
2011-10-23,星期日,16℃,10℃,小雨~多云,旋转风,微风
2011-10-24,星期一,17℃,10℃,多云,旋转风,微风
2011-10-25,星期二,15℃,9℃,阴~小雨,东风~旋转风,3-4级~微风
2011-10-26,星期三,14℃,10℃,阴~多云,旋转风,微风
2011-10-27,星期四,15℃,9℃,多云,旋转风,微风
2011-10-28,星期五,17℃,8℃,多云~晴,旋转风,微风
2011-10-29,星期六,18℃,10℃,多云,旋转风,微风
2011-10-30,星期日,18℃,10℃,阴,旋转风,微风
2011-10-31,星期一,16℃,11℃,阴,旋转风,微风
2011-11-01,星期二,15℃,11℃,阵雨,旋转风,微风
2011-11-02,星期三,15℃,11℃,小雨~小到中雨,旋转风,微风
2011-11-03,星期四,16℃,12℃,小到中雨~小雨,旋转风,微风
2011-11-04,星期五,15℃,12℃,小雨~阴,旋转风,微风
2011-11-05,星期六,15℃,11℃,小雨,旋转风,微风
2011-11-06,星期日,14℃,10℃,小到中雨,旋转风,微风
2011-11-07,星期一,14℃,9℃,小雨~阴,旋转风,微风
2011-11-08,星期二,15℃,7℃,晴,旋转风,微风
2011-11-09,星期三,17℃,6℃,晴,旋转风,微风
2011-11-10,星期四,16℃,7℃,晴,旋转风,微风
2011-11-11,星期五,16℃,8℃,多云,旋转风,微风
2011-11-12,星期六,13℃,7℃,阴,旋转风,微风
2011-11-13,星期日,15℃,7℃,多云,旋转风,微风
2011-11-14,星期一,14℃,7℃,多云~小雨,旋转风,微风
2011-11-15,星期二,11℃,8℃,小雨,旋转风,微风
2011-11-16,星期三,11℃,8℃,小雨,旋转风,微风
2011-11-17,星期四,11℃,8℃,小雨,旋转风,微风
2011-11-18,星期五,13℃,5℃,多云,旋转风,微风
2011-11-19,星期六,14℃,7℃,晴,旋转风,微风
2011-11-20,星期日,14℃,6℃,多云,旋转风,微风
2011-11-21,星期一,11℃,5℃,小雨~多云,旋转风,微风
2011-11-22,星期二,13℃,3℃,雾~晴,旋转风,微风
2011-11-23,星期三,13℃,4℃,晴,旋转风,微风
2011-11-24,星期四,11℃,4℃,多云,旋转风,微风
2011-11-25,星期五,12℃,5℃,多云,旋转风,微风
2011-11-26,星期六,9℃,6℃,阴,旋转风,微风
2011-11-27,星期日,11℃,7℃,阴~小雨,旋转风,微风
2011-11-28,星期一,9℃,5℃,小雨,旋转风,微风
2011-11-29,星期二,7℃,3℃,小雨~阴,旋转风,微风
2011-11-30,星期三,7℃,1℃,多云,旋转风,微风
2011-12-01,星期四,8℃,0℃,晴,旋转风,微风
2011-12-02,星期五,8℃,1℃,晴,旋转风,微风
2011-12-03,星期六,7℃,3℃,多云~阴,旋转风,微风
2011-12-04,星期日,5℃,2℃,小雨,旋转风,微风
2011-12-05,星期一,5℃,2℃,小雨~阴,旋转风,微风
2011-12-06,星期二,5℃,1℃,小雨~雨夹雪,旋转风,微风
2011-12-07,星期三,6℃,0℃,阴~多云,西风,微风
2011-12-08,星期四,8℃,-2℃,晴,旋转风,微风
2011-12-09,星期五,6℃,-3℃,晴,北风~旋转风,3-4级~微风
2011-12-10,星期六,5℃,-3℃,晴,旋转风,微风
2011-12-11,星期日,7℃,-1℃,晴,旋转风,微风
2011-12-12,星期一,6℃,-1℃,多云,旋转风,微风
2011-12-13,星期二,7℃,-1℃,晴~多云,旋转风,微风
2011-12-14,星期三,7℃,-2℃,多云,旋转风,微风
2011-12-15,星期四,6℃,-3℃,晴,旋转风,微风
2011-12-16,星期五,5℃,-1℃,多云~阴,旋转风,微风
2011-12-17,星期六,4℃,-2℃,阴,旋转风,微风
2011-12-18,星期日,5℃,-2℃,多云,旋转风,微风
2011-12-19,星期一,5℃,-1℃,阴,旋转风,微风
2011-12-20,星期二,5℃,-2℃,多云~晴,旋转风,微风
2011-12-21,星期三,4℃,-3℃,小雨~阴,旋转风,微风
2011-12-22,星期四,5℃,-3℃,多云~晴,旋转风,微风
2011-12-23,星期五,5℃,-4℃,晴,旋转风,微风
2011-12-24,星期六,7℃,-3℃,晴,旋转风,微风
2011-12-25,星期日,8℃,0℃,晴~多云,旋转风,微风
2011-12-26,星期一,6℃,-1℃,阴,旋转风,微风
2011-12-27,星期二,5℃,-2℃,多云,旋转风,微风
2011-12-28,星期三,6℃,-1℃,阴,旋转风,微风
2011-12-29,星期四,5℃,-2℃,多云,旋转风,微风
2011-12-30,星期五,5℃,-2℃,多云,旋转风,微风
2011-12-31,星期六,5℃,-2℃,多云,旋转风,微风
2012-01-01,星期日,6℃,-3℃,雾~多云,旋转风,微风
2012-01-02,星期一,4℃,-3℃,阴,东风~西风,微风~3-4级
2012-01-03,星期二,3℃,-5℃,晴,旋转风,微风
2012-01-04,星期三,3℃,-3℃,多云,旋转风,微风
2012-01-05,星期四,3℃,-3℃,多云,旋转风,微风
2012-01-06,星期五,3℃,-4℃,多云~阴,旋转风,微风
2012-01-07,星期六,3℃,-3℃,阴,旋转风,微风
2012-01-08,星期日,3℃,-3℃,多云~阴,旋转风,微风
2012-01-09,星期一,5℃,-3℃,多云~阴,旋转风,微风
2012-01-10,星期二,4℃,-4℃,阴,旋转风,微风
2012-01-11,星期三,4℃,-4℃,阴,旋转风,微风
2012-01-12,星期四,5℃,-3℃,阴,旋转风,微风
2012-01-13,星期五,4℃,-2℃,阴,旋转风,微风
2012-01-14,星期六,4℃,-3℃,多云~阴,旋转风,微风
2012-01-15,星期日,6℃,-1℃,阴~多云,旋转风,微风
2012-01-16,星期一,2℃,-1℃,小雪~阴,旋转风,微风
2012-01-17,星期二,4℃,-1℃,阴,旋转风,微风
2012-01-18,星期三,3℃,-1℃,雾~小雪,旋转风,微风
2012-01-19,星期四,1℃,-1℃,小雪~小到中雪,旋转风,微风
2012-01-20,星期五,1℃,-2℃,小到中雪,旋转风,微风
2012-01-21,星期六,1℃,-3℃,小到中雪~小雪,旋转风,微风
2012-01-22,星期日,1℃,-5℃,多云~晴,旋转风,微风
2012-01-23,星期一,0℃,-7℃,多云~晴,旋转风,微风
2012-01-24,星期二,0℃,-7℃,晴,旋转风,微风
2012-01-25,星期三,2℃,-6℃,晴~多云,旋转风,微风
2012-01-26,星期四,3℃,-5℃,多云,旋转风,微风
2012-01-27,星期五,3℃,-5℃,阴~小雪,旋转风,微风
2012-01-28,星期六,5℃,-2℃,多云~阴,旋转风,微风
2012-01-29,星期日,4℃,-2℃,阴,旋转风,微风
2012-01-30,星期一,7℃,-1℃,晴,旋转风,微风
2012-01-31,星期二,8℃,-2℃,晴~多云,旋转风,微风
2012-02-01,星期三,5℃,-3℃,多云~阴,旋转风,微风
2012-02-02,星期四,4℃,-4℃,阴,东北风~旋转风,微风
2012-02-03,星期五,7℃,-2℃,晴~多云,旋转风,微风
2012-02-04,星期六,7℃,-2℃,多云~晴,旋转风,微风
2012-02-05,星期日,8℃,-3℃,多云,旋转风,微风
2012-02-06,星期一,4℃,-6℃,多云~晴,北风~东北风,3-4级
2012-02-07,星期二,2℃,-8℃,晴,北风,3-4级~微风
2012-02-08,星期三,4℃,-4℃,阴,旋转风,微风
2012-02-09,星期四,2℃,-3℃,阴,旋转风,微风
2012-02-10,星期五,4℃,-3℃,多云,旋转风,微风
2012-02-11,星期六,6℃,-2℃,阴,旋转风,微风
2012-02-12,星期日,5℃,-2℃,多云~阴,旋转风,微风
2012-02-13,星期一,8℃,-1℃,阴,旋转风,微风
2012-02-14,星期二,7℃,0℃,阴~雨夹雪,旋转风,微风
2012-02-15,星期三,6℃,0℃,雨夹雪~阴,旋转风,微风
2012-02-16,星期四,5℃,-2℃,阴~多云,旋转风,微风
2012-02-17,星期五,5℃,-3℃,多云,旋转风,微风
2012-02-18,星期六,6℃,-2℃,晴,旋转风,微风
2012-02-19,星期日,10℃,0℃,多云,旋转风,微风
2012-02-20,星期一,10℃,1℃,多云,旋转风,微风
2012-02-21,星期二,12℃,2℃,阴~多云,旋转风,微风
2012-02-22,星期三,8℃,2℃,多云~阴,旋转风,微风
2012-02-23,星期四,8℃,2℃,阴,旋转风,微风
2012-02-24,星期五,7℃,1℃,阴,旋转风,微风
2012-02-25,星期六,8℃,2℃,阴,旋转风,微风
2012-02-26,星期日,7℃,-1℃,阴,旋转风,微风
2012-02-27,星期一,7℃,2℃,阴,旋转风,微风
2012-02-28,星期二,9℃,1℃,阴,旋转风,微风
2012-02-29,星期三,7℃,2℃,阴,旋转风,微风
2012-03-01,星期四,6℃,2℃,小雨~阴,旋转风,微风
2012-03-02,星期五,5℃,0℃,阴~雨夹雪,旋转风,微风
2012-03-03,星期六,7℃,1℃,阴,旋转风,微风
2012-03-04,星期日,10℃,1℃,阴~多云,旋转风,微风
2012-03-05,星期一,8℃,0℃,阴~多云,旋转风,微风
2012-03-06,星期二,9℃,2℃,阴,旋转风,微风
2012-03-07,星期三,9℃,3℃,阴,旋转风,微风
2012-03-08,星期四,8℃,2℃,阴,旋转风,微风
2012-03-09,星期五,10℃,2℃,阴,旋转风,微风
2012-03-10,星期六,12℃,2℃,多云,旋转风,微风
2012-03-11,星期日,11℃,3℃,多云,旋转风,微风
2012-03-12,星期一,15℃,4℃,晴,旋转风,微风
2012-03-13,星期二,15℃,4℃,多云,旋转风,微风
2012-03-14,星期三,14℃,4℃,阴~小雨,旋转风,微风
2012-03-15,星期四,8℃,3℃,小雨~阴,旋转风,3-4级
2012-03-16,星期五,15℃,6℃,多云,旋转风,微风
2012-03-17,星期六,20℃,7℃,多云,旋转风,微风
