房源编号,所在城市,所在区县,所在街道或地区,小区名称,面积,租赁方式,朝向,月租,计费方式,室,厅,卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,采暖
TJ2565062901652537344,天津,河西,小海地,桂江里(河西区),45㎡,整租,南,1300元/月,年付价,2室,1厅,1卫,随时入住,3~12个月,随时可看,4,6层,无,租用车位,民水,民电,有,集中供暖
TJ2465172401063993344,天津,南开,广开街,博朗园,60㎡,整租,南,4500元/月,季付价,1室,1厅,1卫,随时入住,暂无数据,随时可看,高楼层,27层,有,暂无数据,民水,民电,无,集中供暖
TJ2564757103520784384,天津,北辰,双街,城际美景家园,12㎡,合租,南,960元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,6,6层,无,租用车位,民水,民电,有,集中供暖
TJ2387662710595649536,天津,南开,广开街,博朗园,46㎡,整租,南,4200元/月,季付价,1室,1厅,1卫,随时入住,暂无数据,随时可看,中楼层,27层,有,暂无数据,民水,民电,无,集中供暖
TJ2565358523907317760,天津,红桥,双环邨,佳春里,15㎡,合租,南,800元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,4,6层,无,免费使用,民水,民电,有,集中供暖
TJ2490332192580829184,天津,南开,广开街,博朗园,49㎡,整租,南,4500元/月,季付价,1室,1厅,1卫,随时入住,暂无数据,随时可看,高楼层,27层,有,暂无数据,民水,民电,无,集中供暖
TJ2565150514203598848,天津,河东,上杭路,程林里,34㎡,整租,南,960元/月,年付价,1室,1厅,1卫,随时入住,3~12个月,随时可看,3,5层,无,租用车位,民水,民电,有,集中供暖
TJ2565053060682350592,天津,河东,太阳城,紫玉园,15㎡,合租,南,850元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,4,6层,无,免费使用,民水,民电,有,集中供暖
TJ2565156301907181568,天津,红桥,西于庄,五峰里,41㎡,整租,东南,1200元/月,年付价,2室,1厅,1卫,随时入住,3~12个月,随时可看,8,8层,无,租用车位,民水,民电,有,集中供暖
TJ2420273383695450112,天津,和平,体育馆街,诚基经贸中心,12㎡,合租,南,4600元/月,季付价,2室,2厅,2卫,随时入住,暂无数据,随时可看,高楼层,33层,有,暂无数据,民水,民电,无,集中供暖
TJ2563594247559184384,天津,河东,上杭路,第六大道俊东公寓,37㎡,整租,南,1000元/月,年付价,1室,1厅,1卫,随时入住,3~12个月,随时可看,3,15层,有,租用车位,民水,民电,有,集中供暖
TJ2407741597929447424,天津,武清,下朱庄,保利香颂湖,20㎡,合租,南,1700元/月,季付价,2室,1厅,1卫,随时入住,暂无数据,随时可看,低楼层,11层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2565195159004790784,天津,河东,向阳楼,红顶花园北园,15㎡,合租,南,1050元/月,季付价,5室,2厅,2卫,随时入住,1~12个月,随时可看,3,5层,无,租用车位,民水,民电,有,集中供暖
TJ2478000956445564928,天津,南开,广开街,博朗园,59㎡,整租,南,3000元/月,季付价,1室,1厅,1卫,随时入住,暂无数据,随时可看,高楼层,27层,有,暂无数据,民水,民电,无,集中供暖
TJ2564976252373180416,天津,南开,广开街,卫安中里,16㎡,合租,南,999元/月,季付价,3室,1厅,1卫,随时入住,3个月以上,随时可看,7,7层,无,免费使用,民水,民电,有,集中供暖
TJ2423066501164056576,天津,西青,张家窝,社会山Bigparty,92㎡,整租,南,3500元/月,季付价,3室,1厅,1卫,随时入住,暂无数据,随时可看,低楼层,18层,有,暂无数据,民水,民电,有,集中供暖
TJ2565711910687752192,天津,南开,万兴街,同安里(南开区),64㎡,整租,南,2450元/月,季付价,2室,1厅,1卫,随时入住,暂无数据,随时可看,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2488152965593448448,天津,南开,兴南街,怀庆里,29㎡,整租,北,1850元/月,季付价,1室,1厅,1卫,随时入住,暂无数据,随时可看,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2390421780675706880,天津,河东,靖江路,泰兴公寓,15㎡,合租,北,1000元/月,季付价,4室,1厅,1卫,随时入住,暂无数据,随时可看,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2518949580092489728,天津,河北,王串场,正兴里,76㎡,整租,东/南/北,1750元/月,季付价,2室,1厅,1卫,随时入住,暂无数据,随时可看,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2564983184173301760,天津,南开,广开街,卫安中里,22㎡,合租,南,999元/月,月付价,4室,1厅,1卫,随时入住,1个月以上,随时可看,7,7层,无,免费使用,民水,民电,有,集中供暖
TJ2385529482422525952,天津,南开,广开街,博朗园,37㎡,整租,南,2400元/月,季付价,1室,1厅,1卫,随时入住,暂无数据,随时可看,中楼层,27层,有,暂无数据,民水,民电,无,集中供暖
TJ2564388505518350336,天津,河东,春华街,城市之星大厦,18㎡,合租,南,1150元/月,季付价,5室,1厅,1卫,随时入住,1~12个月,随时可看,20,20层,有,租用车位,民水,民电,无,集中供暖
TJ2531014476128862208,天津,南开,万兴街,新都大厦,74㎡,整租,西南/北,3550元/月,季付价,2室,1厅,1卫,随时入住,暂无数据,随时可看,高楼层,28层,有,暂无数据,民水,民电,有,集中供暖
TJ2401622780245721088,天津,南开,鼓楼街,晋丰大厦,15㎡,合租,东北,1350元/月,季付价,3室,2厅,2卫,随时入住,暂无数据,随时可看,低楼层,16层,有,暂无数据,民水,民电,有,集中供暖
TJ2561661296160546816,天津,南开,鼓楼街,艺术公寓,53㎡,整租,东南/南,2400元/月,季付价,1室,1厅,1卫,随时入住,暂无数据,随时可看,高楼层,32层,有,暂无数据,民水,民电,有,集中供暖
TJ2532517939932823552,天津,南开,鼓楼街,龙亭家园,87㎡,整租,东南,3900元/月,季付价,2室,2厅,1卫,随时入住,暂无数据,随时可看,低楼层,30层,有,暂无数据,民水,民电,有,集中供暖
TJ2563801015103537152,天津,西青,张家窝,万科四季雅园,90㎡,整租,南/北,1000元/月,季付价,3室,2厅,2卫,随时入住,1年以内,需提前预约,高楼层,9层,有,租用车位,民水,民电,有,集中供暖
TJ2563597060402323456,天津,塘沽,胡家园,菁华津城,60㎡,整租,南,1300元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,9层,有,暂无数据,民水,民电,有,集中供暖
TJ2563617274489470976,天津,南开,长虹街,雅环里,47㎡,整租,南,1150元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2564527129480413184,天津,南开,嘉陵道街,泊江东里,15㎡,合租,南,1050元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,4,6层,无,租用车位,民水,民电,有,集中供暖
TJ2562998550828941312,天津,东丽,华明镇,明湖苑,71㎡,整租,南,1300元/月,季付价,1室,1厅,1卫,2020-07-31,1年以内,需提前预约,高楼层,5层,无,免费使用,民水,民电,有,集中供暖
TJ2565026062518198272,天津,西青,中北镇,溪悦园,17㎡,合租,南,1000元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,14,24层,暂无数据,免费使用,暂无数据,暂无数据,暂无数据,自采暖
TJ2563763190450364416,天津,津南,咸水沽,普明里丙区,86㎡,整租,南/北,800元/月,年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,免费使用,暂无数据,暂无数据,有,集中供暖
TJ2565183642586316800,天津,河东,向阳楼,向阳花园,13㎡,合租,南,1000元/月,月付价,5室,1厅,1卫,随时入住,1~12个月,随时可看,6,6层,无,租用车位,民水,民电,有,集中供暖
TJ2563551859377971200,天津,武清,下朱庄,保利香颂湖,93㎡,整租,南,800元/月,年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,11层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2565341369296502784,天津,红桥,西于庄,中嘉花园秀水苑,12㎡,合租,南,650元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,4,6层,无,免费使用,民水,民电,有,集中供暖
TJ2565340025533775872,天津,红桥,西于庄,中嘉花园秀水苑,17㎡,合租,南,900元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,4,6层,无,免费使用,民水,民电,有,集中供暖
TJ2565339091420061696,天津,红桥,西于庄,中嘉花园秀水苑,15㎡,合租,南,900元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,4,6层,无,免费使用,民水,民电,有,集中供暖
TJ2563763190450364416,天津,津南,咸水沽,普明里丙区,86㎡,整租,南/北,800元/月,年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,免费使用,暂无数据,暂无数据,有,集中供暖
TJ2565340025533775872,天津,红桥,西于庄,中嘉花园秀水苑,17㎡,合租,南,900元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,4,6层,无,免费使用,民水,民电,有,集中供暖
TJ2564321546457841664,天津,塘沽,胡家园,滨慧花园（远洋城3期）,106㎡,整租,南,1350元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,34层,有,暂无数据,民水,民电,有,集中供暖
TJ2565417249733083136,天津,红桥,西于庄,中嘉花园秀水苑,12㎡,合租,西南,800元/月,季付价,3室,1厅,1卫,随时入住,2~5个月,随时可看,6,6层,无,租用车位,民水,民电,有,集中供暖
TJ2563150959958302720,天津,北辰,北仓镇,荣悦园,83㎡,整租,南/北,800元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,18层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2565415291320270848,天津,红桥,西于庄,中嘉花园秀水苑,17㎡,合租,南,1000元/月,季付价,3室,1厅,1卫,随时入住,2~5个月,随时可看,6,6层,无,租用车位,民水,民电,有,集中供暖
TJ2563596799457894400,天津,河东,万新村,凤岐里,34㎡,整租,南,1300元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2564314733147078656,天津,河西,下瓦房,西楼北里,26㎡,整租,西,1200元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,8层,无,暂无数据,民水,民电,有,集中供暖
TJ2564252704256040960,天津,河西,小海地,云江新苑,57㎡,整租,南,1200元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,28层,有,暂无数据,民水,民电,有,集中供暖
TJ2563554723458727936,天津,海河教育园区,辛庄,静怡里小区,79㎡,整租,南,1300元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,5层,无,免费使用,民水,民电,有,集中供暖
TJ2564410664236097536,天津,津南,咸水沽,新祥园,88㎡,整租,南/北,1000元/月,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,23层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2564662038370721792,天津,河东,向阳楼,万兴花园,14㎡,合租,南,1190元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,6,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2563793491008700416,天津,河东,万新村,松风东里,38㎡,整租,南,1300元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2565058290325667840,天津,西青,中北镇,碧水家园C区,17㎡,合租,南,1050元/月,月付价,3室,1厅,1卫,随时入住,3~12个月,随时可看,5,10层,无,免费使用,暂无数据,暂无数据,有,自采暖
TJ2562834748175024128,天津,武清,静湖,静湖花园东区,69㎡,整租,南,800元/月,None,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,11层,有,暂无数据,民水,民电,有,集中供暖
TJ2564489388034113536,天津,滨海新区,大港,前进里,40㎡,整租,南,650元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2564294851969687552,天津,河北,铁东路,志成东里,40㎡,整租,南,1300元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2563584383705415680,天津,东丽,东丽湖,恒大翡翠华庭,133㎡,整租,南,1000元/月,季付价,3室,2厅,2卫,随时入住,1年以内,需提前预约,高楼层,25层,有,暂无数据,民水,民电,有,集中供暖
TJ2564434483067756544,天津,津南,咸水沽,宝业馨苑,79㎡,整租,南,1100元/月,半年付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2562825884537200640,天津,南开,万兴街,苏堤东里,25㎡,整租,东,1200元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2564411299388211200,天津,东丽,万新街,金隅悦城品香苑,72㎡,整租,南/北,1300元/月,年付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,14层,有,暂无数据,民水,民电,有,集中供暖
TJ2565189335137918976,天津,河东,常州道,柏丽花园,15㎡,合租,南,1050元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,5,6层,无,租用车位,民水,民电,有,集中供暖
TJ2564337461140930560,天津,河西,桃园街,桃园村大街,35㎡,整租,西,1500元/月,None,1室,0厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2564286902925017088,天津,河西,小海地,汉江里,43㎡,整租,东南,1350元/月,年付价,1室,1厅,1卫,随时入住,3~12个月,随时可看,6,6层,无,租用车位,民水,民电,有,集中供暖
TJ2564430782676606976,天津,滨海新区,大港,振业里,40㎡,整租,南/北,850元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2563664261692006400,天津,南开,长虹街,平陆西里,15㎡,合租,南,1000元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,4,5层,无,租用车位,民水,民电,有,集中供暖
TJ2565126581546647552,天津,东丽,万新街,程林东里,40㎡,整租,南,1200元/月,None,1室,1厅,1卫,2020-07-16,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2564250672971390976,天津,河东,唐家口,新开路355号,15㎡,合租,南,1300元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,3,6层,无,租用车位,民水,民电,有,集中供暖
TJ2564321468427280384,天津,南开,学府街,时代公寓(南开),20㎡,合租,南,1298元/月,月付价,3室,1厅,1卫,随时入住,3~12个月,随时可看,19,24层,有,免费使用,民水,民电,有,集中供暖
TJ2564467870163804160,天津,西青,中北镇,东兴里（西青区）,19㎡,合租,南,1000元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,6,6层,有,免费使用,民水,民电,有,自采暖
TJ2563761269769240576,天津,河西,天塔街,天资里,34㎡,整租,南,1500元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2564431894075162624,天津,南开,王顶堤,瑞丽园,15㎡,合租,南,1200元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,6,6层,无,租用车位,民水,民电,有,集中供暖
TJ2431760230771081216,天津,塘沽,胡家园,滨尚花园（远洋城5期）,89㎡,整租,南,1100元/月,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,34层,有,暂无数据,民水,民电,有,集中供暖
TJ2563568266597367808,天津,南开,体育中心街,凌奥创意产业园,16㎡,合租,南,1198元/月,月付价,2室,1厅,1卫,随时入住,1年,随时可看,12,13层,有,租用车位,民水,民电,无,集中供暖
TJ2527452897860927488,天津,塘沽,胡家园,滨瑞花园（远洋城7期）,56㎡,整租,南,1100元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,34层,有,暂无数据,民水,民电,有,集中供暖
TJ2564419255949074432,天津,河东,唐家口,新开路355号,18㎡,合租,南,1300元/月,季付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,1,6层,无,租用车位,民水,民电,有,集中供暖
TJ2565047213881835520,天津,武清,下朱庄,龙如园,102㎡,整租,南/北,800元/月,None,3室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,5层,无,暂无数据,民水,民电,有,集中供暖
