所在城市,所在区县,所在街道或地区,小区名称,面积,租赁方式,朝向,月租,计费方式,室,厅,卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,采暖
天津,南开,广开街,博朗园,60,整租,南,3000,季付价,1,1,1,随时入住,暂无数据,随时可看,低楼层,27,有,暂无数据,民水,民电,无,集中供暖
天津,西青,中北镇,水溪苑,15,合租,南,950,月付价,3,1,1,随时入住,1~12个月,随时可看,中楼层,10,有,免费使用,民水,民电,有,自采暖
天津,南开,广开街,新建楼,71,整租,南,2700,季付价,2,1,1,随时入住,暂无数据,随时可看,中楼层,5,无,暂无数据,民水,民电,有,集中供暖
天津,西青,中北镇,水溪苑,18,合租,南,950,月付价,3,1,1,随时入住,1~12个月,随时可看,高楼层,10,暂无数据,免费使用,暂无数据,暂无数据,暂无数据,自采暖
天津,南开,学府街,府湖里,53,整租,东,2600,季付价,2,1,1,随时入住,暂无数据,随时可看,中楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,西青,中北镇,水溪苑,18,合租,南,1000,月付价,3,1,1,随时入住,1~12个月,随时可看,高楼层,10,暂无数据,免费使用,暂无数据,暂无数据,暂无数据,自采暖
天津,南开,鼓楼街,如意大厦,68,整租,东,2750,季付价,2,1,1,随时入住,暂无数据,随时可看,高楼层,40,有,暂无数据,民水,民电,有,集中供暖
天津,南开,广开街,博朗园,47,整租,南,2500,季付价,1,1,1,随时入住,暂无数据,随时可看,低楼层,27,有,暂无数据,民水,民电,无,集中供暖
天津,南开,广开街,博朗园,46,整租,南,2500,季付价,1,1,1,随时入住,暂无数据,随时可看,高楼层,27,有,暂无数据,民水,民电,无,集中供暖
天津,南开,向阳路,熙汇广场,59,整租,东,2500,季付价,1,0,1,随时入住,暂无数据,随时可看,中楼层,29,有,暂无数据,商水,民电,无,集中供暖
天津,南开,广开街,博朗园,60,整租,西,3200,季付价,1,1,1,随时入住,暂无数据,随时可看,高楼层,27,有,暂无数据,民水,民电,无,集中供暖
天津,河北,铁东路,志成东里,40,整租,南,1250,年付价,1,1,1,随时入住,3~12个月,随时可看,高楼层,6,无,租用车位,民水,民电,有,集中供暖
天津,武清,下朱庄,颐洋花园,15,合租,北,500,季付价,3,1,1,随时入住,暂无数据,随时可看,高楼层,8,有,暂无数据,民水,民电,有,集中供暖
天津,河西,小海地,桂江里(河西区),28,整租,南,1180,年付价,1,1,1,随时入住,3~12个月,随时可看,高楼层,6,无,租用车位,民水,民电,有,集中供暖
天津,滨海,中新生态城,万科锦庐,125,整租,南,7000,季付价,3,2,2,随时入住,暂无数据,随时可看,中楼层,5,无,暂无数据,民水,民电,有,集中供暖
天津,滨海,中新生态城,世茂鲲玺园,100,整租,南,3000,季付价,2,1,1,随时入住,暂无数据,随时可看,高楼层,18,有,暂无数据,民水,民电,有,集中供暖
天津,南开,广开街,博朗园,77,整租,南,4600,季付价,2,1,1,随时入住,暂无数据,随时可看,低楼层,31,有,暂无数据,民水,民电,有,集中供暖
天津,红桥,三条石,泰达城河与海,87,整租,南,4000,季付价,2,1,1,随时入住,暂无数据,随时可看,中楼层,33,有,暂无数据,民水,民电,有,集中供暖
天津,南开,鼓楼街,艺术公寓,89,整租,西,3500,季付价,2,1,1,随时入住,暂无数据,随时可看,中楼层,32,有,暂无数据,民水,民电,有,集中供暖
天津,河西,下瓦房,恒华公寓,170,整租,东,7200,季付价,3,1,2,随时入住,暂无数据,随时可看,高楼层,34,有,暂无数据,民水,民电,有,自采暖
天津,武清,下朱庄,君利新家园,20,合租,北,1200,季付价,2,1,1,随时入住,暂无数据,随时可看,高楼层,18,有,暂无数据,民水,民电,有,集中供暖
天津,河西,小海地,桂江里(河西区),45,整租,南,1300,年付价,2,1,1,随时入住,3~12个月,随时可看,高楼层,6,无,租用车位,民水,民电,有,集中供暖
天津,南开,广开街,博朗园,60,整租,南,4500,季付价,1,1,1,随时入住,暂无数据,随时可看,高楼层,27,有,暂无数据,民水,民电,无,集中供暖
天津,北辰,双街,城际美景家园,12,合租,南,960,季付价,3,1,1,随时入住,1年,随时可看,高楼层,6,无,租用车位,民水,民电,有,集中供暖
天津,南开,广开街,博朗园,46,整租,南,4200,季付价,1,1,1,随时入住,暂无数据,随时可看,中楼层,27,有,暂无数据,民水,民电,无,集中供暖
天津,红桥,双环邨,佳春里,15,合租,南,800,月付价,3,1,1,随时入住,1~12个月,随时可看,高楼层,6,无,免费使用,民水,民电,有,集中供暖
天津,南开,广开街,博朗园,49,整租,南,4500,季付价,1,1,1,随时入住,暂无数据,随时可看,高楼层,27,有,暂无数据,民水,民电,无,集中供暖
天津,河东,上杭路,程林里,34,整租,南,960,年付价,1,1,1,随时入住,3~12个月,随时可看,中楼层,5,无,租用车位,民水,民电,有,集中供暖
天津,河东,太阳城,紫玉园,15,合租,南,850,月付价,4,1,1,随时入住,1~12个月,随时可看,高楼层,6,无,免费使用,民水,民电,有,集中供暖
天津,红桥,西于庄,五峰里,41,整租,东,1200,年付价,2,1,1,随时入住,3~12个月,随时可看,高楼层,8,无,租用车位,民水,民电,有,集中供暖
天津,和平,体育馆街,诚基经贸中心,12,合租,南,4600,季付价,2,2,2,随时入住,暂无数据,随时可看,高楼层,33,有,暂无数据,民水,民电,无,集中供暖
天津,河东,上杭路,第六大道俊东公寓,37,整租,南,1000,年付价,1,1,1,随时入住,3~12个月,随时可看,低楼层,15,有,租用车位,民水,民电,有,集中供暖
天津,武清,下朱庄,保利香颂湖,20,合租,南,1700,季付价,2,1,1,随时入住,暂无数据,随时可看,低楼层,11,有,暂无数据,暂无数据,暂无数据,有,集中供暖
天津,河东,向阳楼,红顶花园北园,15,合租,南,1050,季付价,5,2,2,随时入住,1~12个月,随时可看,中楼层,5,无,租用车位,民水,民电,有,集中供暖
天津,南开,广开街,博朗园,59,整租,南,3000,季付价,1,1,1,随时入住,暂无数据,随时可看,高楼层,27,有,暂无数据,民水,民电,无,集中供暖
天津,南开,广开街,卫安中里,16,合租,南,999,季付价,3,1,1,随时入住,3个月以上,随时可看,高楼层,7,无,免费使用,民水,民电,有,集中供暖
天津,西青,张家窝,社会山Bigparty,92,整租,南,3500,季付价,3,1,1,随时入住,暂无数据,随时可看,低楼层,18,有,暂无数据,民水,民电,有,集中供暖
天津,南开,万兴街,同安里(南开区),64,整租,南,2450,季付价,2,1,1,随时入住,暂无数据,随时可看,中楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,南开,兴南街,怀庆里,29,整租,北,1850,季付价,1,1,1,随时入住,暂无数据,随时可看,中楼层,7,无,暂无数据,民水,民电,有,集中供暖
天津,河东,靖江路,泰兴公寓,15,合租,北,1000,季付价,4,1,1,随时入住,暂无数据,随时可看,中楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,河北,王串场,正兴里,76,整租,东,1750,季付价,2,1,1,随时入住,暂无数据,随时可看,高楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,南开,广开街,卫安中里,22,合租,南,999,月付价,4,1,1,随时入住,1个月以上,随时可看,高楼层,7,无,免费使用,民水,民电,有,集中供暖
天津,南开,广开街,博朗园,37,整租,南,2400,季付价,1,1,1,随时入住,暂无数据,随时可看,中楼层,27,有,暂无数据,民水,民电,无,集中供暖
天津,河东,春华街,城市之星大厦,18,合租,南,1150,季付价,5,1,1,随时入住,1~12个月,随时可看,高楼层,20,有,租用车位,民水,民电,无,集中供暖
天津,南开,万兴街,新都大厦,74,整租,西,3550,季付价,2,1,1,随时入住,暂无数据,随时可看,高楼层,28,有,暂无数据,民水,民电,有,集中供暖
天津,南开,鼓楼街,晋丰大厦,15,合租,东,1350,季付价,3,2,2,随时入住,暂无数据,随时可看,低楼层,16,有,暂无数据,民水,民电,有,集中供暖
天津,南开,鼓楼街,艺术公寓,53,整租,东,2400,季付价,1,1,1,随时入住,暂无数据,随时可看,高楼层,32,有,暂无数据,民水,民电,有,集中供暖
天津,南开,鼓楼街,龙亭家园,87,整租,东,3900,季付价,2,2,1,随时入住,暂无数据,随时可看,低楼层,30,有,暂无数据,民水,民电,有,集中供暖
天津,西青,张家窝,万科四季雅园,90,整租,南,1000,季付价,3,2,2,随时入住,1年以内,需提前预约,高楼层,9,有,租用车位,民水,民电,有,集中供暖
天津,塘沽,胡家园,菁华津城,60,整租,南,1300,None,1,1,1,随时入住,暂无数据,需提前预约,高楼层,9,有,暂无数据,民水,民电,有,集中供暖
天津,南开,长虹街,雅环里,47,整租,南,1150,None,1,1,1,随时入住,暂无数据,需提前预约,高楼层,6,无,免费使用,民水,民电,有,集中供暖
天津,南开,嘉陵道街,泊江东里,15,合租,南,1050,月付价,3,1,1,随时入住,1~12个月,随时可看,高楼层,6,无,租用车位,民水,民电,有,集中供暖
天津,东丽,华明镇,明湖苑,71,整租,南,1300,季付价,1,1,1,20200731,1年以内,需提前预约,高楼层,5,无,免费使用,民水,民电,有,集中供暖
天津,西青,中北镇,溪悦园,17,合租,南,1000,月付价,3,1,1,随时入住,1~12个月,随时可看,中楼层,24,暂无数据,免费使用,暂无数据,暂无数据,暂无数据,自采暖
天津,津南,咸水沽,普明里丙区,86,整租,南,800,年付价,2,1,1,随时入住,1年以内,需提前预约,中楼层,6,无,免费使用,暂无数据,暂无数据,有,集中供暖
天津,河东,向阳楼,向阳花园,13,合租,南,1000,月付价,5,1,1,随时入住,1~12个月,随时可看,高楼层,6,无,租用车位,民水,民电,有,集中供暖
天津,武清,下朱庄,保利香颂湖,93,整租,南,800,年付价,2,1,1,随时入住,1年以内,需提前预约,中楼层,11,有,暂无数据,暂无数据,暂无数据,有,集中供暖
天津,红桥,西于庄,中嘉花园秀水苑,12,合租,南,650,月付价,3,1,1,随时入住,1~12个月,随时可看,高楼层,6,无,免费使用,民水,民电,有,集中供暖
天津,红桥,西于庄,中嘉花园秀水苑,17,合租,南,900,月付价,3,1,1,随时入住,1~12个月,随时可看,高楼层,6,无,免费使用,民水,民电,有,集中供暖
天津,红桥,西于庄,中嘉花园秀水苑,15,合租,南,900,月付价,3,1,1,随时入住,1~12个月,随时可看,高楼层,6,无,免费使用,民水,民电,有,集中供暖
天津,津南,咸水沽,普明里丙区,86,整租,南,800,年付价,2,1,1,随时入住,1年以内,需提前预约,中楼层,6,无,免费使用,暂无数据,暂无数据,有,集中供暖
天津,红桥,西于庄,中嘉花园秀水苑,17,合租,南,900,月付价,3,1,1,随时入住,1~12个月,随时可看,高楼层,6,无,免费使用,民水,民电,有,集中供暖
天津,塘沽,胡家园,滨慧花园（远洋城3期）,106,整租,南,1350,季付价,2,1,1,随时入住,1年以内,需提前预约,高楼层,34,有,暂无数据,民水,民电,有,集中供暖
天津,红桥,西于庄,中嘉花园秀水苑,12,合租,西,800,季付价,3,1,1,随时入住,2~5个月,随时可看,高楼层,6,无,租用车位,民水,民电,有,集中供暖
天津,北辰,北仓镇,荣悦园,83,整租,南,800,None,2,1,1,随时入住,暂无数据,需提前预约,低楼层,18,有,暂无数据,暂无数据,暂无数据,有,集中供暖
天津,红桥,西于庄,中嘉花园秀水苑,17,合租,南,1000,季付价,3,1,1,随时入住,2~5个月,随时可看,高楼层,6,无,租用车位,民水,民电,有,集中供暖
天津,河东,万新村,凤岐里,34,整租,南,1300,None,1,1,1,随时入住,暂无数据,需提前预约,高楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,河西,下瓦房,西楼北里,26,整租,西,1200,季付价,1,1,1,随时入住,2年以内,需提前预约,中楼层,8,无,暂无数据,民水,民电,有,集中供暖
天津,河西,小海地,云江新苑,57,整租,南,1200,None,1,1,1,随时入住,暂无数据,需提前预约,高楼层,28,有,暂无数据,民水,民电,有,集中供暖
天津,海河教育园,辛庄,静怡里小区,79,整租,南,1300,季付价,2,1,1,随时入住,1年以内,需提前预约,中楼层,5,无,免费使用,民水,民电,有,集中供暖
天津,津南,咸水沽,新祥园,88,整租,南,1000,半年付价,2,1,1,随时入住,1年以内,需提前预约,中楼层,23,有,暂无数据,暂无数据,暂无数据,有,集中供暖
天津,河东,向阳楼,万兴花园,14,合租,南,1190,季付价,3,1,1,随时入住,1年,随时可看,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
天津,河东,万新村,松风东里,38,整租,南,1300,季付价,1,1,1,随时入住,1年以内,需提前预约,高楼层,6,无,免费使用,民水,民电,有,集中供暖
天津,西青,中北镇,碧水家园C区,17,合租,南,1050,月付价,3,1,1,随时入住,3~12个月,随时可看,中楼层,10,无,免费使用,暂无数据,暂无数据,有,自采暖
天津,武清,静湖,静湖花园东区,69,整租,南,800,None,2,1,1,随时入住,1年以内,需提前预约,中楼层,11,有,暂无数据,民水,民电,有,集中供暖
天津,滨海,大港,前进里,40,整租,南,650,None,1,1,1,随时入住,暂无数据,需提前预约,高楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,河北,铁东路,志成东里,40,整租,南,1300,季付价,1,1,1,随时入住,1年以内,需提前预约,中楼层,6,无,免费使用,民水,民电,有,集中供暖
天津,东丽,东丽湖,恒大翡翠华庭,133,整租,南,1000,季付价,3,2,2,随时入住,1年以内,需提前预约,高楼层,25,有,暂无数据,民水,民电,有,集中供暖
天津,津南,咸水沽,宝业馨苑,79,整租,南,1100,半年付价,1,1,1,随时入住,1年以内,需提前预约,中楼层,6,无,免费使用,民水,民电,有,集中供暖
天津,南开,万兴街,苏堤东里,25,整租,东,1200,None,1,1,1,随时入住,暂无数据,需提前预约,高楼层,6,无,暂无数据,暂无数据,暂无数据,有,集中供暖
天津,东丽,万新街,金隅悦城品香苑,72,整租,南,1300,年付价,2,1,1,随时入住,3年以内,需提前预约,中楼层,14,有,暂无数据,民水,民电,有,集中供暖
天津,河东,常州道,柏丽花园,15,合租,南,1050,月付价,4,1,1,随时入住,1~12个月,随时可看,高楼层,6,无,租用车位,民水,民电,有,集中供暖
天津,河西,桃园街,桃园村大街,35,整租,西,1500,None,1,0,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
天津,河西,小海地,汉江里,43,整租,东,1350,年付价,1,1,1,随时入住,3~12个月,随时可看,高楼层,6,无,租用车位,民水,民电,有,集中供暖
天津,滨海,大港,振业里,40,整租,南,850,None,1,1,1,随时入住,暂无数据,需提前预约,高楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,南开,长虹街,平陆西里,15,合租,南,1000,月付价,4,1,1,随时入住,1~12个月,随时可看,高楼层,5,无,租用车位,民水,民电,有,集中供暖
天津,东丽,万新街,程林东里,40,整租,南,1200,None,1,1,1,20200716,暂无数据,需提前预约,中楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,河东,唐家口,新开路355号,15,合租,南,1300,月付价,4,1,1,随时入住,1~12个月,随时可看,中楼层,6,无,租用车位,民水,民电,有,集中供暖
天津,南开,学府街,时代公寓(南开),20,合租,南,1298,月付价,3,1,1,随时入住,3~12个月,随时可看,高楼层,24,有,免费使用,民水,民电,有,集中供暖
天津,西青,中北镇,东兴里（西青区）,19,合租,南,1000,月付价,3,1,1,随时入住,1~12个月,随时可看,高楼层,6,有,免费使用,民水,民电,有,自采暖
天津,河西,天塔街,天资里,34,整租,南,1500,季付价,1,1,1,随时入住,2年以内,需提前预约,高楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,南开,王顶堤,瑞丽园,15,合租,南,1200,月付价,4,1,1,随时入住,1~12个月,随时可看,高楼层,6,无,租用车位,民水,民电,有,集中供暖
天津,塘沽,胡家园,滨尚花园（远洋城5期）,89,整租,南,1100,半年付价,2,1,1,随时入住,1年以内,需提前预约,中楼层,34,有,暂无数据,民水,民电,有,集中供暖
天津,南开,体育中心街,凌奥创意产业园,16,合租,南,1198,月付价,2,1,1,随时入住,1年,随时可看,高楼层,13,有,租用车位,民水,民电,无,集中供暖
天津,塘沽,胡家园,滨瑞花园（远洋城7期）,56,整租,南,1100,None,1,1,1,随时入住,暂无数据,需提前预约,中楼层,34,有,暂无数据,民水,民电,有,集中供暖
天津,河东,唐家口,新开路355号,18,合租,南,1300,季付价,4,1,1,随时入住,1~12个月,随时可看,低楼层,6,无,租用车位,民水,民电,有,集中供暖
天津,武清,下朱庄,龙如园,102,整租,南,800,None,3,1,1,随时入住,暂无数据,需提前预约,中楼层,5,无,暂无数据,民水,民电,有,集中供暖
天津,红桥,西营门,梦和园,53,整租,南,1000,None,1,1,1,随时入住,暂无数据,需提前预约,中楼层,29,有,暂无数据,暂无数据,暂无数据,有,自采暖
天津,西青,张家窝,中交樾公馆,90,合租,南,700,季付价,3,1,1,随时入住,1年以内,需提前预约,低楼层,15,有,租用车位,民水,民电,有,集中供暖
天津,滨海,汉沽,后坨里,40,整租,南,900,季付价,1,1,1,随时入住,1年以内,需提前预约,中楼层,4,无,免费使用,暂无数据,暂无数据,有,集中供暖
天津,河北,建昌道,桥园里,22,整租,南,1400,None,1,1,1,20200801,暂无数据,需提前预约,中楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,塘沽,大沽街,碧桂园海昌天澜,30,合租,南,1400,季付价,5,1,2,随时入住,3个月以上,随时可看,高楼层,34,有,租用车位,民水,民电,有,集中供暖
天津,河北,铁东路,华宜里,34,整租,南,1500,季付价,1,1,1,随时入住,1年以内,需提前预约,低楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,塘沽,大沽街,碧桂园海昌天澜,20,合租,北,1000,季付价,5,1,2,随时入住,3个月以上,随时可看,高楼层,34,有,租用车位,民水,民电,有,集中供暖
天津,塘沽,新村街,河华里,40,整租,南,1300,季付价,1,1,1,随时入住,1年以内,需提前预约,中楼层,5,无,暂无数据,民水,民电,有,集中供暖
天津,河西,友谊路,宾西楼,35,整租,西,1300,季付价,1,0,1,随时入住,1年以内,需提前预约,高楼层,6,无,免费使用,民水,民电,有,集中供暖
天津,河西,友谊路,宾西楼,16,整租,南,1100,季付价,1,0,0,随时入住,2年以内,需提前预约,低楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,河东,万新村,曲溪中里,34,整租,东,1300,None,1,1,1,随时入住,暂无数据,需提前预约,高楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,海河教育园,咸水沽,金浩园,77,整租,东,1200,年付价,2,1,1,随时入住,1年以内,需提前预约,低楼层,24,有,暂无数据,民水,民电,有,集中供暖
天津,河西,越秀路,红波里,35,整租,南,1600,None,1,1,1,随时入住,暂无数据,需提前预约,高楼层,8,无,暂无数据,民水,民电,有,集中供暖
天津,河西,马场街,卫星里,22,整租,北,1000,None,1,0,0,随时入住,暂无数据,需提前预约,中楼层,4,无,暂无数据,民水,民电,有,集中供暖
天津,河东,春华街,福旺花园,13,合租,南,780,月付价,3,1,1,随时入住,1~12个月,随时可看,高楼层,6,无,免费使用,民水,民电,有,集中供暖
天津,河西,小海地,华江里,25,整租,南,1500,季付价,1,1,1,20200731,1年以内,需提前预约,低楼层,6,无,免费使用,民水,民电,有,集中供暖
天津,河西,陈塘庄,天房六合国际,12,合租,北,1390,季付价,4,1,2,随时入住,1年,随时可看,高楼层,38,有,暂无数据,民水,民电,有,集中供暖
天津,河西,友谊路,友谊东里,60,整租,南,1600,None,2,1,1,随时入住,暂无数据,需提前预约,中楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,西青,中北镇,碧水家园A区,15,合租,东,840,月付价,2,1,1,随时入住,1年,随时可看,低楼层,6,无,免费使用,民水,民电,有,集中供暖
天津,河西,陈塘庄,雅致里,44,整租,南,1600,季付价,1,1,1,随时入住,1年以内,需提前预约,高楼层,6,无,免费使用,民水,民电,有,集中供暖
天津,南开,鼓楼街,尚佳新苑,12,合租,南,1099,季付价,4,1,1,随时入住,3个月以上,随时可看,中楼层,27,有,暂无数据,民水,民电,有,集中供暖
天津,河东,春华街,瑞金里,46,整租,南,1150,年付价,1,1,1,随时入住,6~12个月,随时可看,低楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,河北,新开河,盛和家园,56,整租,南,1400,季付价,1,1,1,随时入住,6个月以上,随时可看,高楼层,29,有,免费使用,民水,民电,有,集中供暖
天津,东丽,东丽湖,恒大翡翠华庭,54,整租,南,1000,季付价,1,1,1,随时入住,1年以内,需提前预约,低楼层,25,有,暂无数据,民水,民电,有,集中供暖
天津,塘沽,新村街,福建里,60,整租,南,1500,月付价,2,1,1,随时入住,1年,随时可看,高楼层,6,无,免费使用,民水,民电,有,集中供暖
天津,东丽,万新街,金隅悦城品香苑,72,整租,南,1400,季付价,2,1,1,随时入住,1年以内,需提前预约,高楼层,17,有,暂无数据,民水,民电,有,集中供暖
天津,南开,万兴街,凯立花园,15,合租,南,1000,月付价,4,1,1,随时入住,1~12个月,随时可看,高楼层,6,无,租用车位,民水,民电,有,集中供暖
天津,武清,下朱庄,越秀园西区,80,整租,南,600,年付价,2,1,1,随时入住,1年以内,需提前预约,低楼层,6,无,暂无数据,暂无数据,暂无数据,有,集中供暖
天津,南开,鼓楼街,尚佳新苑,12,合租,南,999,月付价,4,1,2,随时入住,3~12个月,随时可看,低楼层,27,有,免费使用,民水,民电,有,集中供暖
天津,河北,王串场,华屏里,31,整租,南,1300,None,1,1,1,随时入住,暂无数据,需提前预约,高楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,河北,王串场,焕玉里,44,整租,西,1400,季付价,1,1,1,随时入住,1年以内,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
天津,河东,万新村,倚虹东里,56,整租,南,1200,季付价,2,1,1,随时入住,1年以内,需提前预约,高楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,河北,建昌道,桥园里,29,整租,南,1300,None,1,1,1,20200810,暂无数据,需提前预约,低楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,东丽,金钟街,春江里,51,整租,南,1400,None,1,1,1,随时入住,暂无数据,需提前预约,中楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,河东,太阳城,丹荔园,15,合租,南,900,月付价,5,1,1,随时入住,1~12个月,随时可看,中楼层,5,无,暂无数据,民水,民电,有,暂无数据
天津,武清,武清其它,金侨大道,14,合租,南,500,年付价,1,1,1,随时入住,1年以内,需提前预约,低楼层,17,有,免费使用,民水,民电,有,集中供暖
